# threads mean stddev speedup speedup_error efficiency efficiency_error
1 18.6647 0.00175655 1 0 1 0
2 9.54432 0.00368174 1.95558 0.000776495 0.977792 0.000388247
4 4.88564 0.00140713 3.82032 0.00115755 0.95508 0.000289388
8 2.48383 0.00172422 7.5145 0.00526413 0.939313 0.000658017
16 2.40472 0.00133598 7.76171 0.00437356 0.485107 0.000273348
24 1.81859 0.00276054 10.2633 0.0156092 0.427637 0.000650382
