# t K U E
7.30000000e-02 1.29550689e+04 -2.13337534e+04 -8.37868453e+03
7.40000000e-02 1.42830162e+04 -2.23030143e+04 -8.01999806e+03
7.50000000e-02 1.45552808e+04 -2.17200630e+04 -7.16478216e+03
7.60000000e-02 1.34898057e+04 -2.08005949e+04 -7.31078920e+03
7.70000000e-02 1.27958716e+04 -2.02982037e+04 -7.50233212e+03
7.80000000e-02 1.23941165e+04 -1.99245439e+04 -7.53042734e+03
7.90000000e-02 1.19899198e+04 -1.95488248e+04 -7.55890497e+03
8.00000000e-02 1.16898247e+04 -1.93260126e+04 -7.63618792e+03
8.10000000e-02 1.15199222e+04 -1.91883986e+04 -7.66847636e+03
8.20000000e-02 1.14067494e+04 -1.90472012e+04 -7.64045174e+03
8.30000000e-02 1.11885412e+04 -1.87014819e+04 -7.51294073e+03
8.40000000e-02 1.07088507e+04 -1.81190047e+04 -7.41015405e+03
8.50000000e-02 1.00709276e+04 -1.74954553e+04 -7.42452775e+03
8.60000000e-02 9.46765531e+03 -1.69201360e+04 -7.45248064e+03
8.70000000e-02 8.90912806e+03 -1.63712100e+04 -7.46208195e+03
8.80000000e-02 8.37754674e+03 -1.59012606e+04 -7.52371389e+03
8.90000000e-02 7.98065631e+03 -1.55898629e+04 -7.60920661e+03
9.00000000e-02 7.75645880e+03 -1.54522569e+04 -7.69579805e+03
9.10000000e-02 7.69909127e+03 -1.54363040e+04 -7.73721271e+03
9.20000000e-02 7.69843762e+03 -1.53953072e+04 -7.69686962e+03
9.30000000e-02 7.60110532e+03 -1.52701471e+04 -7.66904175e+03
9.40000000e-02 7.48165375e+03 -1.51795865e+04 -7.69793270e+03
9.50000000e-02 7.40820064e+03 -1.50892409e+04 -7.68104025e+03
9.60000000e-02 7.28746698e+03 -1.49249680e+04 -7.63750103e+03
9.70000000e-02 7.07708163e+03 -1.46666239e+04 -7.58954223e+03
9.80000000e-02 6.75575184e+03 -1.42815217e+04 -7.52576982e+03
9.90000000e-02 6.33141471e+03 -1.38559493e+04 -7.52453455e+03
1.00000000e-01 5.90932396e+03 -1.34684166e+04 -7.55909268e+03
1.01000000e-01 5.56598702e+03 -1.31684247e+04 -7.60243768e+03
